,Product ID (#) *1,Name,$ Price:,Quantity,Category,Description,Production Date (DD/MM/YYYY),Expiration Date (DD/MM/YYYY),Rating:,Status
0,1,Пакеты для заморозки,4893,468,Товары для дома,"Отличается высоким содержанием пребиотиков, способствующих здоровью кишечника.",2008-05-05,2023-01-03,3.78,Returned
1,2,Чоризо,6953,402,Мясо,"Отличается высоким содержанием альфа-липоевой кислоты, мощного антиоксиданта.",2007-04-12,2014-02-04,4.76,Awaiting Review
2,3,Кубай,8460,188,Напитки,Помогает улучшить когнитивные функции и память.,1992-02-14,2001-01-07,3.8,Returned
3,4,Сода пищевая,2959,510,Бакалея,"Помогает поддерживать нормальный уровень апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",1994-11-05,2018-03-08,3.69,Delivered
4,5,Кокос,6009,56,Фрукты,"Помогает поддерживать нормальный уровень гистамина, важного для иммунной системы.",1991-02-12,2003-03-03,1.28,Refunded
5,6,Пакеты для Нового года,6245,621,Товары для дома,Является важной составляющей рациона для поддержания общего здоровья и благополучия.,2021-11-08,2030-01-03,2.95,On Backorder
6,7,Дыня,121,383,Фрукты,"Отличается высоким содержанием пантотеновой кислоты, необходимой для метаболизма жиров, белков и углеводов.",2006-06-01,2013-06-03,3.09,In Stock
7,8,Крольчатина,4192,989,Мясо,Отличается хорошим сочетанием с различными специями и приправами.,2011-04-07,2026-11-13,1.25,Temporarily Unavailable
8,9,Перец болгарский,7872,648,Овощи,Идеален для перекусов между основными приемами пищи.,2012-05-04,2027-07-04,4.48,New
9,10,Пшено,6802,971,Бакалея,"Помогает поддерживать нормальный уровень ацетилхолина, нейромедиатора, ответственного за память и обучение.",2005-04-14,2028-02-19,1.82,Backorder
10,11,Донер-кебаб,4254,50,Мясо,"Популярен среди спортсменов и людей, ведущих активный образ жизни.",2012-02-02,2021-03-03,4.67,Available for Pickup
11,12,Айран,9139,239,Молочные продукты,"Подходит для приготовления как горячих, так и холодных блюд.",2000-07-04,2014-02-09,3.25,Backorder
12,13,Укроп,9494,815,Овощи,Отличается стабильностью вкуса и качества в течение всего срока хранения.,2015-07-08,2018-05-02,1.77,Available for Pickup
13,14,Шубат,6092,682,Молочные продукты,"Отличается высоким содержанием альфа-липоевой кислоты, мощного антиоксиданта.",2017-01-14,2017-04-02,2.74,Awaiting Review
14,15,Смородина,5654,295,Фрукты,"Помогает поддерживать нормальный уровень эритропоэтина, гормона, стимулирующего производство эритроцитов.",1992-05-14,2024-04-01,1.01,Delivered
15,16,Сок ананасовый,8336,443,Напитки,Подходит для использования в диетических программах для похудения.,1997-03-06,2005-02-05,1.51,Backorder
16,17,Сметана,2914,219,Молочные продукты,"Помогает поддерживать нормальный уровень кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",2004-03-21,2009-06-05,2.95,Pending
17,18,Курт,8279,963,Молочные продукты,"Помогает поддерживать нормальный уровень нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",2016-07-05,2027-07-02,0.26,Pending
18,19,Кашинская,4730,874,Напитки,"Помогает поддерживать нормальный уровень гистамина, важного для иммунной системы.",2019-01-09,2021-11-07,0.27,Returned
19,20,Грейпфрут,8340,910,Фрукты,Является важным компонентом рациона для поддержания гормонального баланса.,2010-05-14,2017-02-09,4.53,Awaiting Payment
20,21,Бастурма,7087,939,Мясо,"Отличается высоким содержанием глютамина, необходимого для восстановления мышц после физических нагрузок.",2005-09-08,2013-06-05,0.12,Awaiting Review
21,22,Подставки под горячее,4803,621,Товары для дома,Подходит для использования в диетических программах для похудения.,2004-03-24,2008-06-01,1.84,Backorder
22,23,Моцарелла,2821,320,Молочные продукты,"Отличается высоким содержанием антиоксидантов, защищающих клетки от окислительного стресса.",2020-03-18,2022-02-04,0.63,Available for Pickup
23,24,Каша из дробленного риса,4380,620,Бакалея,"Отличается высоким содержанием витамина E, необходимого для защиты клеточных мембран.",2014-02-14,2016-03-12,3.14,Pending
24,25,Севастопольская,7001,222,Напитки,"Отличается высоким содержанием пиридоксина, необходимого для синтеза нейромедиаторов.",2009-03-04,2017-02-20,1.83,Refunded
25,26,Томатная паста,1537,855,Бакалея,Идеально подходит для употребления в чистом виде или в составе различных блюд и напитков.,1991-04-09,2015-04-04,0.86,Sold
26,27,Хурма,4899,989,Фрукты,"Отличается высоким содержанием омега-3 жирных кислот, полезных для сердца.",2015-02-02,2025-02-04,0.98,Cancelled
27,28,Мягкие игрушки,5346,252,Товары для дома,"Отличается высоким содержанием фолиевой кислоты, необходимой для формирования новых клеток.",2000-02-12,2010-01-09,1.26,Cancelled
28,29,Тарелки глубокие,4654,76,Товары для дома,Помогает укреплять стенки сосудов и улучшать кровообращение.,1994-02-18,1994-04-03,1.78,Available for Pickup
29,30,Перец болгарский,3112,353,Овощи,"Помогает поддерживать нормальный уровень апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",2000-01-01,2006-04-19,0.46,Awaiting Review
30,31,Моцарелла,2894,678,Молочные продукты,Способствует улучшению работы пищеварительной системы.,2020-02-05,2020-04-03,0.54,Shipping
31,32,Варенье,7869,25,Бакалея,Помогает поддерживать нормальный уровень холестерина в крови.,1992-01-10,1996-06-07,3.1,Returned
32,33,Пакеты для мастер-класса,3886,378,Товары для дома,"Помогает поддерживать нормальный уровень эндорфинов, гормонов радости и удовольствия.",2018-09-17,2023-05-19,2.24,Awaiting Payment
33,34,Мандарин,6061,585,Фрукты,"Помогает поддерживать нормальный уровень кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",2013-01-06,2019-01-21,1.74,Pending
34,35,Дыня,2755,628,Фрукты,"Отличается высоким содержанием генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",2018-02-12,2026-01-19,0.39,Shipping
35,36,Пакеты для спортзала,8754,948,Товары для дома,"Отличается низким содержанием натрия, что делает его безопасным для гипертоников.",2006-03-09,2026-09-20,3.79,Awaiting Payment
36,37,Турнепс,3988,171,Овощи,"Помогает поддерживать нормальный уровень гистамина, важного для иммунной системы.",2016-01-06,2025-04-18,2.6,Cancelled
37,38,Курт,7199,446,Молочные продукты,"Отличается приятным ароматом, который усиливает аппетит.",2004-04-09,2006-01-22,4.28,Backorder
38,39,Хинкали,2443,993,Мясо,Улучшает настроение и общее самочувствие благодаря содержанию триптофана.,2004-05-05,2017-01-03,3.45,New
39,40,Гель для душа,2133,37,Товары для дома,"Помогает поддерживать нормальный уровень кумаринов, веществ, обладающих антикоагулянтными свойствами.",1993-02-18,2016-04-01,0.81,Shipping
40,41,Сметана,8848,501,Молочные продукты,"Отличается высоким содержанием генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",2011-01-02,2022-04-27,3.98,Out of Stock
41,42,Пищевая пленка,5775,53,Товары для дома,"Помогает поддерживать нормальный уровень эритропоэтина, гормона, стимулирующего производство эритроцитов.",2008-03-04,2011-11-16,1.71,Cancelled
42,43,Творог,519,541,Молочные продукты,"Помогает поддерживать нормальный уровень адреналина, гормона стресса и возбуждения.",2019-10-13,2027-02-02,2.55,New
43,44,Киви,9589,407,Фрукты,Отличается натуральным составом и отсутствием искусственных добавок.,1997-12-02,2001-05-15,5.01,Cancelled
44,45,Мортаделла,2770,319,Мясо,"Является источником важных нутриентов, необходимых для роста и развития детей.",2000-03-04,2030-06-10,4.72,Awaiting Review
45,46,Ведро для мытья полов,3364,216,Товары для дома,"Помогает поддерживать нормальный уровень метионина, аминокислоты, необходимой для детоксикации организма.",2005-05-01,2020-03-11,1.14,Backorder
46,47,Куриные бедра,7849,840,Мясо,Помогает поддерживать нормальный уровень тестостерона у мужчин.,2014-01-07,2019-06-02,1.6,Returned
47,48,Мягкие игрушки,7626,929,Товары для дома,"Обладает мягким вкусом, который нравится многим потребителям.",2005-02-05,2005-04-08,0.58,Cancelled
48,49,Спаржа,4342,155,Овощи,"Отличается низким содержанием жира, что делает его подходящим для тех, кто следит за фигурой.",1993-01-14,2009-06-07,2.51,Delivered
49,50,Тульская,3407,989,Напитки,"Помогает поддерживать нормальный уровень кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",2015-02-16,2030-06-19,4.78,Refunded
50,51,Кофеварка,8316,906,Товары для дома,"Помогает поддерживать нормальный уровень даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",1993-03-11,2009-04-06,3.72,Temporarily Unavailable
51,52,Пастернак,6450,431,Овощи,"Обеспечивает организм необходимыми жирами, белками и углеводами.",2010-04-09,2013-05-06,2.75,New
52,53,Ветчина,9365,700,Мясо,"Отличается высоким содержанием альфа-липоевой кислоты, мощного антиоксиданта.",2011-01-14,2023-05-10,3.53,On Backorder
53,54,Персик,3946,351,Фрукты,Отличается низкой калорийностью и высоким содержанием белка.,2000-07-04,2014-04-14,3.11,Returned
54,55,Кольраби,7490,799,Овощи,Помогает поддерживать нормальный уровень сахара в крови.,2012-02-10,2026-02-23,0.41,New
55,56,Каша из ржи,7918,207,Бакалея,Отличается стабильностью вкуса и качества в течение всего срока хранения.,2016-01-01,2029-06-18,3.64,Delivered
56,57,Тарелки глубокие,3019,547,Товары для дома,"Отличается приятным ароматом, который усиливает аппетит.",1993-07-19,2002-02-12,4.89,Refunded
57,58,Отбеливатель,9062,350,Товары для дома,Может использоваться в вегетарианской диете как источник белка.,2000-02-24,2002-02-07,3.6,New
58,59,Каша из дробленого кускуса,7965,467,Бакалея,Может использоваться в вегетарианской диете как источник белка.,1990-02-25,1998-01-03,1.32,Delivered
59,60,Сангрия безалкогольная,8202,677,Напитки,Помогает улучшать качество сна и снижать уровень тревожности.,1992-03-06,1993-07-15,1.77,Available for Pickup
60,61,Каша из камута,8221,732,Бакалея,Помогает поддерживать нормальный уровень глюкозы в крови.,2004-01-05,2010-03-02,3.01,On Backorder
